task,cohort,validation,version,n,model_BA,own_threshold_dummy_BA,model_accuracy,dummy_accuracy
C295,PP_complete,LOCO,adaptive_nonlocal,51,0.6902834008097165,0.4605263157894737,0.7647058823529411,0.6862745098039216
C295,PP_complete,LORPO,adaptive_nonlocal,51,0.6693548387096775,0.8693548387096774,0.7058823529411765,0.8627450980392157
C871,PP_complete,LOCO,adaptive_nonlocal,51,0.7352941176470589,0.75,0.7254901960784313,0.7450980392156863
C871,PP_complete,LORPO,adaptive_nonlocal,51,0.8846153846153846,0.9615384615384616,0.8235294117647058,0.9411764705882353
