design_id,success,density_RF_score,density_RF_prediction,structure_RF_score,structure_RF_prediction
1.0,1,0.8122273863199684,1,0.7172442236677908,1
2.0,0,0.0,0,0.1008428298435887,0
3.0,0,0.0612061024589017,0,0.1264500320203252,0
4.0,0,0.7563410963884196,1,0.6090450842195418,1
5.0,0,0.1439964310250183,0,0.1381644868342789,0
7.0,0,0.9121664706154552,1,0.6234077399775219,1
8.0,0,0.4574235465305771,0,0.3558802173459811,0
12.0,0,0.1919016931048686,0,0.1870009803846757,0
13.0,0,0.0,0,0.0014728682170542,0
14.0,0,0.0,0,0.0127496107981446,0
15.0,0,0.0,0,0.0014728682170542,0
16.0,0,0.0,0,0.0048062015503875,0
