model,heldout,feature,importance
CP_density3_RF,8_130_r123_r567_r567_r6loop7loop8,pp_nonlocal4_high_per_res,0.3672625739962775
CP_density3_RF,8_130_r123_r567_r567_r6loop7loop8,pp_nonlocal12_high_per_res,0.3482266496556002
CP_density3_RF,8_130_r123_r567_r567_r6loop7loop8,pp_nonlocal24_high_per_res,0.28451077634812233
CP_density3_RF,12_130_r123456654loop328,pp_nonlocal4_high_per_res,0.35910763772005366
CP_density3_RF,12_130_r123456654loop328,pp_nonlocal12_high_per_res,0.3518834971732154
CP_density3_RF,12_130_r123456654loop328,pp_nonlocal24_high_per_res,0.28900886510673096
CP_density3_RF,13_130_r12345665432loop8,pp_nonlocal4_high_per_res,0.3618862277217782
CP_density3_RF,13_130_r12345665432loop8,pp_nonlocal12_high_per_res,0.35222971483282317
CP_density3_RF,13_130_r12345665432loop8,pp_nonlocal24_high_per_res,0.28588405744539863
CP_density3_RF,14_130_r123456734loop568,pp_nonlocal4_high_per_res,0.3618862277217782
CP_density3_RF,14_130_r123456734loop568,pp_nonlocal12_high_per_res,0.35222971483282317
CP_density3_RF,14_130_r123456734loop568,pp_nonlocal24_high_per_res,0.28588405744539863
CP_density3_RF,15_130_r12345673456loop8,pp_nonlocal4_high_per_res,0.3618862277217782
CP_density3_RF,15_130_r12345673456loop8,pp_nonlocal12_high_per_res,0.35222971483282317
CP_density3_RF,15_130_r12345673456loop8,pp_nonlocal24_high_per_res,0.28588405744539863
CP_density3_RF,16_130_r12365673156loop8,pp_nonlocal4_high_per_res,0.3618862277217782
CP_density3_RF,16_130_r12365673156loop8,pp_nonlocal12_high_per_res,0.35222971483282317
CP_density3_RF,16_130_r12365673156loop8,pp_nonlocal24_high_per_res,0.28588405744539863
CP_density3_XGB,puf12_r123_r5678_r56788,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf12_r123_r5678_r56788,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf12_r123_r5678_r56788,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r5678_r5loop6788,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf12_r123_r5678_r5loop6788,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf12_r123_r5678_r5loop6788,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r567_r567_r678,pp_nonlocal4_high_per_res,0.5081230401992798
CP_density3_XGB,puf12_r123_r567_r567_r678,pp_nonlocal12_high_per_res,0.4918769896030426
CP_density3_XGB,puf12_r123_r567_r567_r678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal4_high_per_res,0.5081230401992798
CP_density3_XGB,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal12_high_per_res,0.4918769896030426
CP_density3_XGB,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r567_r5loop67_r678,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf12_r123_r567_r5loop67_r678,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf12_r123_r567_r5loop67_r678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf12_r123_r567_r6r7_r5678,pp_nonlocal4_high_per_res,0.32063889503479004
CP_density3_XGB,puf12_r123_r567_r6r7_r5678,pp_nonlocal12_high_per_res,0.320853054523468
CP_density3_XGB,puf12_r123_r567_r6r7_r5678,pp_nonlocal24_high_per_res,0.35850799083709717
CP_density3_XGB,puf_12_loopr4loopr4,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf_12_loopr4loopr4,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf_12_loopr4loopr4,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf_12_loopr4r4,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf_12_loopr4r4,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf_12_loopr4r4,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf_12_r4loopr4,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf_12_r4loopr4,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf_12_r4loopr4,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,puf_12_r4r4,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,puf_12_r4r4,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,puf_12_r4r4,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,1_130_r123_r567_r567_r67_no_loop_8,pp_nonlocal4_high_per_res,0.5081230401992798
CP_density3_XGB,1_130_r123_r567_r567_r67_no_loop_8,pp_nonlocal12_high_per_res,0.4918769896030426
CP_density3_XGB,1_130_r123_r567_r567_r67_no_loop_8,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,2_130_r123_r567_r5loop67_r678,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,2_130_r123_r567_r5loop67_r678,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,2_130_r123_r567_r5loop67_r678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,3_130_r123_r567_r56loop7_r678,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,3_130_r123_r567_r56loop7_r678,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,3_130_r123_r567_r56loop7_r678,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,4_130_r123_r567_r567_rloop678,pp_nonlocal4_high_per_res,0.3285909593105316
CP_density3_XGB,4_130_r123_r567_r567_rloop678,pp_nonlocal12_high_per_res,0.3588883578777313
CP_density3_XGB,4_130_r123_r567_r567_rloop678,pp_nonlocal24_high_per_res,0.3125205934047699
CP_density3_XGB,5_130_r123_r567_r567_r6loop78,pp_nonlocal4_high_per_res,0.5079891085624695
CP_density3_XGB,5_130_r123_r567_r567_r6loop78,pp_nonlocal12_high_per_res,0.4920108914375305
CP_density3_XGB,5_130_r123_r567_r567_r6loop78,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,7_130_r123_r567_r567_rloop67loop8,pp_nonlocal4_high_per_res,0.5079137086868286
CP_density3_XGB,7_130_r123_r567_r567_rloop67loop8,pp_nonlocal12_high_per_res,0.492086261510849
CP_density3_XGB,7_130_r123_r567_r567_rloop67loop8,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,8_130_r123_r567_r567_r6loop7loop8,pp_nonlocal4_high_per_res,0.5650402307510376
CP_density3_XGB,8_130_r123_r567_r567_r6loop7loop8,pp_nonlocal12_high_per_res,0.4349597990512848
CP_density3_XGB,8_130_r123_r567_r567_r6loop7loop8,pp_nonlocal24_high_per_res,0.0
CP_density3_XGB,12_130_r123456654loop328,pp_nonlocal4_high_per_res,0.33416399359703064
CP_density3_XGB,12_130_r123456654loop328,pp_nonlocal12_high_per_res,0.3424195349216461
CP_density3_XGB,12_130_r123456654loop328,pp_nonlocal24_high_per_res,0.32341647148132324
CP_density3_XGB,13_130_r12345665432loop8,pp_nonlocal4_high_per_res,0.5079891085624695
