site,model,validation,n,mae_pp,rmse_pp,r2,spearman
C388,Total_CP,LOOCV,21,5.7784141834063165,6.979011462673455,0.2334179211253906,0.3194805194805195
C388,WT_interface_CP,LOOCV,21,6.616560421039965,7.837817979785984,0.0331453598529738,-0.0584415584415584
C388,Top20pct_CP,LOOCV,21,5.7784141834063165,6.979011462673455,0.2334179211253906,0.3194805194805195
C388,CP_summary,LOOCV,21,6.8466787010826735,8.590502418323187,-0.161469922347758,-0.0545454545454545
C388,Residue_CP,LOOCV,21,6.747779664385567,7.930150424512207,0.010231359544423,0.1415584415584415
C388,RNA_position_CP,LOOCV,21,8.708382677681927,12.315615026906782,-1.3871683542844169,0.2246753246753246
C388,Full_CP,LOOCV,21,8.71062453383908,15.738813956784352,-2.898655332943572,0.2415584415584415
C388,CP_summary_RF,LOOCV,21,5.400238332634353,6.500797640945036,0.3348736803241259,0.6207792207792208
C388,Mutation_position_baseline,LOOCV,21,7.870967960253552,10.992641969693407,-0.901844501584074,-0.0415584415584415
C388,Mean_baseline,LOOCV,21,6.874435714285714,8.369584138638551,-0.1024999999999998,-1.0
C388,Nested_CP_selection,LOOCV,21,5.937838674268503,7.063679501826702,0.2147050391128951,0.5337662337662338
C388,Nested_CP_selection,Leave_position_group_out,21,6.983590524344692,8.084980099598248,-0.0287947737718528,0.1716516405813988
C871,Total_CP,LOOCV,21,12.13157897090258,15.252236057900094,0.0439153011877212,0.0779220779220779
C871,WT_interface_CP,LOOCV,21,12.59894986390104,15.17734803132782,0.053280947096741,-0.1558441558441558
C871,Top20pct_CP,LOOCV,21,12.13157897090258,15.252236057900094,0.0439153011877212,0.0779220779220779
C871,CP_summary,LOOCV,21,13.307344411123184,15.92505923394966,-0.0422968953870703,0.122077922077922
C871,Residue_CP,LOOCV,21,12.468843046575408,15.513094763456412,0.0109318378415924,-0.0805194805194805
C871,RNA_position_CP,LOOCV,21,13.5123519978622,17.16441838412341,-0.2108421074856865,-0.274025974025974
C871,Full_CP,LOOCV,21,11.178176360343349,14.818033695172623,0.0975763105910876,0.1506493506493506
C871,CP_summary_RF,LOOCV,21,11.300689299618206,14.559587693195803,0.1287807064763608,0.3818181818181818
C871,Mutation_position_baseline,LOOCV,21,13.79008391506134,16.67581300775905,-0.1428871888531071,-0.8467532467532467
C871,Mean_baseline,LOOCV,21,13.682800000000002,16.378519170509588,-0.1025000000000004,-1.0
C871,Nested_CP_selection,LOOCV,21,13.530217604327024,17.97121262278547,-0.3273458501290565,-0.0285714285714285
C871,Nested_CP_selection,Leave_position_group_out,21,14.009326451325547,18.30924011216789,-0.3777485788507733,-0.038324133232696
C295,Total_CP,LOOCV,21,7.524662195710467,9.360673990063024,-0.1346751406746698,-0.9350649350649348
C295,WT_interface_CP,LOOCV,21,7.432834769747594,9.250165875443704,-0.1080423030206552,-0.9727272727272728
C295,Top20pct_CP,LOOCV,21,7.524662195710467,9.360673990063024,-0.1346751406746698,-0.9350649350649348
C295,CP_summary,LOOCV,21,7.650983997564324,9.592965986014343,-0.1916894900346835,-0.6922077922077923
C295,Residue_CP,LOOCV,21,6.719029052234274,9.1096439861842,-0.0746328427795774,0.2545454545454545
C295,RNA_position_CP,LOOCV,21,7.484568968832408,9.397752574788436,-0.1436820721029259,-0.951948051948052
C295,Full_CP,LOOCV,21,7.479760792373805,9.983668300379357,-0.2907364867759574,0.0649350649350649
C295,CP_summary_RF,LOOCV,21,6.931500386744675,9.14177158420306,-0.0822261699230404,0.0909090909090909
C295,Mutation_position_baseline,LOOCV,21,7.454326968579267,9.323248370060488,-0.1256200175972979,-0.0428571428571428
C295,Mean_baseline,LOOCV,21,7.40925476190476,9.2270027294214,-0.1024999999999995,-1.0
C295,Nested_CP_selection,LOOCV,21,7.27420480443438,9.54981131718831,-0.1809917993825234,0.0103896103896103
C295,Nested_CP_selection,Leave_position_group_out,21,9.531264972186523,11.78620834212538,-0.7988938104142285,-0.4246753246753247
C388,Mean_baseline,Leave_position_group_out,21,7.920816852510236,9.391316641317756,-0.388109754592616,-0.5704123454057568
C871,Mean_baseline,Leave_position_group_out,21,14.07231697839055,16.661200248888175,-0.14088507745970413,-0.40367642905638174
C295,Mean_baseline,Leave_position_group_out,21,8.32943553659318,10.125821689058037,-0.3277547102795222,-0.623740836869727
