validation,fold,reported_family,family,q,threshold,inner_BA,parameters,selection_family
LOOCV,9,sequence,sequence,0,0.47461184182894833,0.6868421052631579,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,9,local_CP,local_CP,7,0.4789035344026572,0.8210526315789474,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,9,sequence_plus_CP,sequence_plus_CP,0,0.4673830313609155,0.7921052631578948,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,9,nested_family_selection,local_CP,7,0.4789035344026572,0.8210526315789474,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",nested_family_selection
LOOCV,10,sequence,sequence,20,0.49047887105213694,0.7027777777777777,"{""kind"": ""RF"", ""max_depth"": 2, ""min_samples_leaf"": 3}",
LOOCV,10,local_CP,local_CP,15,0.10659503140057516,0.85,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,10,sequence_plus_CP,sequence_plus_CP,11,0.06635446607979861,0.65,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",
LOOCV,10,nested_family_selection,local_CP,15,0.10659503140057516,0.85,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,11,sequence,sequence,0,0.4919755262521198,0.663888888888889,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,11,local_CP,local_CP,13,0.5955951737255807,0.6472222222222221,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.1}",
LOOCV,11,sequence_plus_CP,sequence_plus_CP,11,0.949609067528596,0.586111111111111,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",
LOOCV,11,nested_family_selection,sequence,0,0.4919755262521198,0.663888888888889,"{""kind"": ""L2"", ""C"": 0.01}",nested_family_selection
LOOCV,12,sequence,sequence,0,0.5,0.7083333333333333,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,12,local_CP,local_CP,2,0.3869212443395132,0.6333333333333333,"{""kind"": ""L2"", ""C"": 1}",
LOOCV,12,sequence_plus_CP,sequence_plus_CP,2,0.8716556996438796,0.5916666666666667,"{""kind"": ""L2"", ""C"": 1}",
LOOCV,12,nested_family_selection,sequence,0,0.5,0.7083333333333333,"{""kind"": ""L2"", ""C"": 0.01}",nested_family_selection
LOOCV,13,sequence,sequence,16,0.06079806818338081,0.6921052631578948,"{""kind"": ""LDA""}",
LOOCV,13,local_CP,local_CP,7,0.4469683434523365,0.8184210526315789,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,13,sequence_plus_CP,sequence_plus_CP,7,0.33883195801918026,0.7394736842105263,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,13,nested_family_selection,local_CP,7,0.4469683434523365,0.8184210526315789,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",nested_family_selection
LOOCV,14,sequence,sequence,0,0.5083804190909612,0.6657894736842105,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,14,local_CP,local_CP,10,0.6602068658091422,0.7473684210526316,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",
LOOCV,14,sequence_plus_CP,sequence_plus_CP,7,0.3319354260695927,0.7131578947368421,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,14,nested_family_selection,local_CP,10,0.6602068658091422,0.7473684210526316,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",nested_family_selection
LOOCV,15,sequence,sequence,17,0.4742785730341571,0.8194444444444444,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",
LOOCV,15,local_CP,local_CP,15,0.005620313809014599,0.625,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,15,sequence_plus_CP,sequence_plus_CP,2,0.8825579625643504,0.6166666666666667,"{""kind"": ""L2"", ""C"": 1}",
LOOCV,15,nested_family_selection,sequence,17,0.4742785730341571,0.8194444444444444,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",nested_family_selection
LOOCV,16,sequence,sequence,18,0.36816615686993204,0.6894736842105263,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 5}",
LOOCV,16,local_CP,local_CP,15,0.5867503987372771,0.8210526315789474,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,16,sequence_plus_CP,sequence_plus_CP,7,0.32400807125089204,0.7368421052631579,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,16,nested_family_selection,local_CP,15,0.5867503987372771,0.8210526315789474,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,17,sequence,sequence,1,0.5195783717455786,0.8444444444444444,"{""kind"": ""L2"", ""C"": 0.1}",
LOOCV,17,local_CP,local_CP,15,0.45110515249248273,0.6833333333333333,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,17,sequence_plus_CP,sequence_plus_CP,12,0.18937836341232595,0.7444444444444445,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",
LOOCV,17,nested_family_selection,sequence,1,0.5195783717455786,0.8444444444444444,"{""kind"": ""L2"", ""C"": 0.1}",nested_family_selection
LOOCV,18,sequence,sequence,7,0.4090678574092578,0.7388888888888889,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,18,local_CP,local_CP,12,0.2995861455828442,0.6944444444444444,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",
LOOCV,18,sequence_plus_CP,sequence_plus_CP,12,0.3359797153042161,0.7083333333333333,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",
LOOCV,18,nested_family_selection,sequence,7,0.4090678574092578,0.7388888888888889,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",nested_family_selection
LOOCV,19,sequence,sequence,0,0.5081550322033781,0.6921052631578948,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,19,local_CP,local_CP,0,0.5,0.8473684210526315,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,19,sequence_plus_CP,sequence_plus_CP,0,0.46135176959217705,0.7657894736842106,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,19,nested_family_selection,local_CP,0,0.5,0.8473684210526315,"{""kind"": ""L2"", ""C"": 0.01}",nested_family_selection
LOOCV,20,sequence,sequence,0,0.47204627907378915,0.6868421052631579,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,20,local_CP,local_CP,15,0.339162169921711,0.8447368421052632,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,20,sequence_plus_CP,sequence_plus_CP,7,0.33532089806765275,0.7394736842105263,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,20,nested_family_selection,local_CP,15,0.339162169921711,0.8447368421052632,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,21,sequence,sequence,1,0.5,0.7447368421052631,"{""kind"": ""L2"", ""C"": 0.1}",
LOOCV,21,local_CP,local_CP,15,0.30359042341720177,0.7947368421052632,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,21,sequence_plus_CP,sequence_plus_CP,7,0.3178198757558439,0.763157894736842,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,21,nested_family_selection,local_CP,15,0.30359042341720177,0.7947368421052632,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,22,sequence,sequence,0,0.43334394432516216,0.6578947368421053,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,22,local_CP,local_CP,15,0.30521143504397547,0.7921052631578948,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,22,sequence_plus_CP,sequence_plus_CP,14,0.027922989756469518,0.7105263157894737,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.5}",
LOOCV,22,nested_family_selection,local_CP,15,0.30521143504397547,0.7921052631578948,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,23,sequence,sequence,0,0.42901851797904356,0.6578947368421053,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,23,local_CP,local_CP,11,0.4166445497234038,0.7421052631578948,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",
LOOCV,23,sequence_plus_CP,sequence_plus_CP,10,0.09188889365424004,0.6605263157894736,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",
LOOCV,23,nested_family_selection,local_CP,11,0.4166445497234038,0.7421052631578948,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",nested_family_selection
LOOCV,24,sequence,sequence,0,0.43244793489030486,0.6578947368421053,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,24,local_CP,local_CP,15,0.28516111401526056,0.8184210526315789,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,24,sequence_plus_CP,sequence_plus_CP,7,0.3333718427650786,0.7394736842105263,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,24,nested_family_selection,local_CP,15,0.28516111401526056,0.8184210526315789,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,25,sequence,sequence,0,0.4343443169612494,0.6578947368421053,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,25,local_CP,local_CP,15,0.3307909540513755,0.7684210526315789,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,25,sequence_plus_CP,sequence_plus_CP,14,0.029926510151955417,0.7105263157894737,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.5}",
LOOCV,25,nested_family_selection,local_CP,15,0.3307909540513755,0.7684210526315789,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,26,sequence,sequence,20,0.339373662478762,0.6631578947368422,"{""kind"": ""RF"", ""max_depth"": 2, ""min_samples_leaf"": 3}",
LOOCV,26,local_CP,local_CP,11,0.38153086183143836,0.7394736842105263,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",
LOOCV,26,sequence_plus_CP,sequence_plus_CP,14,0.028803815255010003,0.6842105263157895,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.5}",
LOOCV,26,nested_family_selection,local_CP,11,0.38153086183143836,0.7394736842105263,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",nested_family_selection
LOOCV,27,sequence,sequence,0,0.5219471496592563,0.618421052631579,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,27,local_CP,local_CP,15,0.25022336924021404,0.7421052631578948,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,27,sequence_plus_CP,sequence_plus_CP,15,0.041796417819812845,0.6894736842105263,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
