candidate_id,feature_set,inner_AUC,inner_AP
32,CP_structure17,1.0,1.0
39,CP_structure17,1.0,1.0
40,CP_structure17,1.0,1.0
42,CP_structure17,1.0,1.0
44,CP_structure17,1.0,1.0
46,CP_structure17,1.0,1.0
47,CP_structure17,1.0,1.0
43,CP_structure17,0.9861111111111112,0.9444444444444443
45,CP_structure17,0.9861111111111112,0.9444444444444443
0,CP_density3,0.9761904761904763,0.8333333333333334
7,CP_density3,0.9761904761904763,0.8333333333333334
8,CP_density3,0.9761904761904763,0.8333333333333334
10,CP_density3,0.9761904761904763,0.8333333333333334
15,CP_density3,0.9761904761904763,0.8333333333333334
33,CP_structure17,0.9722222222222223,0.9444444444444443
1,CP_density3,0.9523809523809524,0.8333333333333334
24,CP_summary14,0.9523809523809524,0.8333333333333334
26,CP_summary14,0.9523809523809524,0.8333333333333334
31,CP_summary14,0.9523809523809524,0.8333333333333334
38,CP_structure17,0.9523809523809524,0.8333333333333334
41,CP_structure17,0.9523809523809524,0.8333333333333334
6,CP_density3,0.9523809523809522,0.6666666666666666
17,CP_summary14,0.9444444444444445,0.9166666666666666
22,CP_summary14,0.9444444444444445,0.9166666666666666
34,CP_structure17,0.9444444444444445,0.9166666666666666
36,CP_structure17,0.9444444444444445,0.9166666666666666
37,CP_structure17,0.9444444444444445,0.9166666666666666
12,CP_density3,0.9285714285714285,0.6666666666666666
14,CP_density3,0.9285714285714285,0.6666666666666666
16,CP_summary14,0.8968253968253969,0.75
23,CP_summary14,0.8968253968253969,0.75
27,CP_summary14,0.8968253968253969,0.75
28,CP_summary14,0.8968253968253969,0.75
29,CP_summary14,0.8968253968253969,0.75
30,CP_summary14,0.8968253968253969,0.75
35,CP_structure17,0.8968253968253969,0.75
2,CP_density3,0.8571428571428572,0.611111111111111
3,CP_density3,0.8571428571428572,0.611111111111111
4,CP_density3,0.8571428571428572,0.611111111111111
5,CP_density3,0.8571428571428572,0.611111111111111
11,CP_density3,0.8571428571428572,0.611111111111111
13,CP_density3,0.8571428571428572,0.611111111111111
18,CP_summary14,0.8492063492063493,0.6944444444444443
19,CP_summary14,0.8492063492063493,0.6944444444444443
20,CP_summary14,0.8492063492063493,0.6944444444444443
21,CP_summary14,0.8492063492063493,0.6944444444444443
25,CP_summary14,0.8293650793650794,0.5555555555555555
9,CP_density3,0.8095238095238096,0.5833333333333334
