scope,heldout,construct,batch,design_id,success,score,inner_threshold,candidate_id,feature_set,inner_AUC,inner_AP
joint,14,3_130_r123_r567_r56loop7_r678,new,3.0,0,0.021736754573532906,0.6,2,CP_density3,0.9722222222222223,0.9444444444444443
CP_density3,14,3_130_r123_r567_r56loop7_r678,new,3.0,0,0.021736754573532906,0.6,2,CP_density3,0.9722222222222223,0.9444444444444443
CP_summary14,14,3_130_r123_r567_r56loop7_r678,new,3.0,0,0.07765295002975213,0.3,16,CP_summary14,0.9246031746031745,0.7777777777777777
CP_structure17,14,3_130_r123_r567_r56loop7_r678,new,3.0,0,0.09951393720276235,0.3,32,CP_structure17,0.9246031746031745,0.7777777777777777
