scope,heldout,construct,batch,design_id,success,score,inner_threshold,candidate_id,feature_set,inner_AUC,inner_AP
joint,12,1_130_r123_r567_r567_r67_no_loop_8,new,1.0,1,0.6105582010582011,0.3,11,CP_density3,1.0,1.0
CP_density3,12,1_130_r123_r567_r567_r67_no_loop_8,new,1.0,1,0.6105582010582011,0.3,11,CP_density3,1.0,1.0
CP_summary14,12,1_130_r123_r567_r567_r67_no_loop_8,new,1.0,1,0.6705298519529219,0.3,16,CP_summary14,0.9047619047619048,0.6666666666666666
CP_structure17,12,1_130_r123_r567_r567_r67_no_loop_8,new,1.0,1,0.5633333333333334,0.15,41,CP_structure17,0.9285714285714285,0.6666666666666666
