scope,heldout,construct,batch,design_id,success,score,inner_threshold,candidate_id,feature_set,inner_AUC,inner_AP
joint,4,puf12_r123_r567_r5loop67_r678,previous,,0,0.0,0.5,2,CP_density3,0.9722222222222223,0.9444444444444443
CP_density3,4,puf12_r123_r567_r5loop67_r678,previous,,0,0.0,0.5,2,CP_density3,0.9722222222222223,0.9444444444444443
CP_summary14,4,puf12_r123_r567_r5loop67_r678,previous,,0,0.12321428571428569,0.3,28,CP_summary14,0.9246031746031745,0.7777777777777777
CP_structure17,4,puf12_r123_r567_r5loop67_r678,previous,,0,0.11656988958497522,0.3,32,CP_structure17,0.9246031746031745,0.7777777777777777
