scope,heldout,construct,batch,design_id,success,score,inner_threshold,candidate_id,feature_set,inner_AUC,inner_AP
joint,18,8_130_r123_r567_r567_r6loop7loop8,new,8.0,0,0.4574235465305771,0.5,0,CP_density3,0.9047619047619048,0.7777777777777777
CP_density3,18,8_130_r123_r567_r567_r6loop7loop8,new,8.0,0,0.4574235465305771,0.5,0,CP_density3,0.9047619047619048,0.7777777777777777
CP_summary14,18,8_130_r123_r567_r567_r6loop7loop8,new,8.0,0,0.4795737071115941,0.25,16,CP_summary14,0.876984126984127,0.7222222222222222
CP_structure17,18,8_130_r123_r567_r567_r6loop7loop8,new,8.0,0,0.37764312559415314,0.2,33,CP_structure17,0.876984126984127,0.7222222222222222
