scope,heldout,construct,batch,design_id,success,score,inner_threshold,candidate_id,feature_set,inner_AUC,inner_AP
joint,7,puf12_r123_r567_r6r7_r5678,previous,,1,0.34200679409391516,0.5,0,CP_density3,0.9523809523809524,0.8333333333333334
CP_density3,7,puf12_r123_r567_r6r7_r5678,previous,,1,0.34200679409391516,0.5,0,CP_density3,0.9523809523809524,0.8333333333333334
CP_summary14,7,puf12_r123_r567_r6r7_r5678,previous,,1,0.23720239366657367,0.4,17,CP_summary14,0.9523809523809524,0.8333333333333334
CP_structure17,7,puf12_r123_r567_r6r7_r5678,previous,,1,0.2520389660424536,0.4,32,CP_structure17,0.9523809523809524,0.8333333333333334
