scope,heldout,construct,batch,design_id,success,score,inner_threshold,candidate_id,feature_set,inner_AUC,inner_AP
joint,10,puf_12_r4loopr4,previous,,0,0.0,0.5,2,CP_density3,0.9722222222222223,0.9444444444444443
CP_density3,10,puf_12_r4loopr4,previous,,0,0.0,0.5,2,CP_density3,0.9722222222222223,0.9444444444444443
CP_summary14,10,puf_12_r4loopr4,previous,,0,0.07511787506787132,0.35,22,CP_summary14,0.9523809523809524,0.8333333333333334
CP_structure17,10,puf_12_r4loopr4,previous,,0,0.056655618774474184,0.3,46,CP_structure17,0.9523809523809524,0.8333333333333334
