model,C388_threshold,n_work,n_nonwork,objective,AUC,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
CP_density3_RF,0.65464,11,20,balanced_accuracy,0.525,0.8205172313472056,0.6451612903225806,0.5818181818181818,4.0,16.0,4.0,7.0,0.32051723134720556
CP_density3_RF,0.658155,10,21,accuracy,0.48809523809523814,0.8558755268877123,0.7096774193548387,0.55,1.0,21.0,0.0,9.0,0.3558755268877123
CP_density3_RF,0.658155,10,21,balanced_accuracy,0.48809523809523814,0.3345076997031333,0.45161290322580644,0.569047619047619,9.0,5.0,16.0,1.0,0.16549230029686668
CP_density3_RF,0.6625,9,22,accuracy,0.47727272727272724,0.8558755268877123,0.7419354838709677,0.5555555555555556,1.0,22.0,0.0,8.0,0.3558755268877123
CP_density3_RF,0.6625,9,22,balanced_accuracy,0.47727272727272724,0.8331088184004509,0.6774193548387096,0.5757575757575758,3.0,18.0,4.0,6.0,0.3331088184004509
CP_density3_RF,0.6721375,8,23,accuracy,0.5027173913043478,0.8558755268877123,0.7741935483870968,0.5625,1.0,23.0,0.0,7.0,0.3558755268877123
CP_density3_RF,0.6721375,8,23,balanced_accuracy,0.5027173913043478,0.8331088184004509,0.7096774193548387,0.6005434782608696,3.0,19.0,4.0,5.0,0.3331088184004509
CP_density3_RF,0.68299,7,24,accuracy,0.5922619047619048,0.8558755268877123,0.8064516129032258,0.5714285714285714,1.0,24.0,0.0,6.0,0.3558755268877123
CP_density3_RF,0.68299,7,24,balanced_accuracy,0.5922619047619048,0.8331088184004509,0.7419354838709677,0.6309523809523809,3.0,20.0,4.0,4.0,0.3331088184004509
CP_density3_RF,0.694275,6,25,accuracy,0.6633333333333332,0.8558755268877123,0.8387096774193549,0.5833333333333334,1.0,25.0,0.0,5.0,0.3558755268877123
CP_density3_RF,0.694275,6,25,balanced_accuracy,0.6633333333333332,0.8331088184004509,0.7741935483870968,0.6699999999999999,3.0,21.0,4.0,3.0,0.3331088184004509
CP_density3_RF,0.7000000000000001,6,25,accuracy,0.6633333333333332,0.8558755268877123,0.8387096774193549,0.5833333333333334,1.0,25.0,0.0,5.0,0.3558755268877123
CP_density3_RF,0.7000000000000001,6,25,balanced_accuracy,0.6633333333333332,0.8331088184004509,0.7741935483870968,0.6699999999999999,3.0,21.0,4.0,3.0,0.3331088184004509
CP_density3_RF,0.71301,5,26,accuracy,0.7423076923076923,0.8558755268877123,0.8709677419354839,0.6,1.0,26.0,0.0,4.0,0.3558755268877123
