feature,feature_index,z_threshold,raw_threshold_approx,leaf_if_less,leaf_if_greater_equal,tree_count
pp_nonlocal12_high_per_res,11,1.23988247,1.3168945311740887,-0.26164736931,0.26164737624000006,21
pp_nonlocal4_high_per_res,9,1.14454627,2.379752850896068,-0.80797145903,0.8079714612799997,74
pp_nonlocal24_high_per_res,13,1.28797257,1.1206054686426843,-0.059744353369999996,0.05974435856,5
