site,validation,fold,reported_family,family,model,threshold,inner_BA,label_threshold_pp
C871,LOOCV,p6_r7_trq,Nested_all,Sequence_Local,LR_0.01,0.5185037710860594,0.9411764705882352,-35
C871,LOOCV,p6_r7_wfd,Nested_all,CP_summary,RF_depth1,0.5626313084385954,0.9444444444444444,-25
C871,LOOCV,p6_r7_wfq,Nested_all,CP_summary,RF_depth1,0.560751739744331,0.9444444444444444,-20
C871,LOOCV,p7_r5_syvirr,Nested_all,Repository,LR_0.01,0.5063655286443998,0.9615384615384616,-25
C871,LOOCV,p8_r6_gve,Nested_all,Sequence_Local,LR_0.01,0.5453933215495956,0.9166666666666669,-35
C871,Position_group_out,4,Nested_all,Local_deltaCP,LR_1,2.735702880152401e-06,0.9117647058823528,-5
C871,Position_group_out,4+7,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.5,1.0,-25
C871,Position_group_out,5,Nested_all,ContactSeek_CCR,SVM_RBF,0.3749313446410786,0.9,-15
C871,Position_group_out,6,Nested_all,CP_summary,RF_depth1,0.5,1.0,-20
C871,Position_group_out,7,Nested_all,Total_CP,RF_depth1,0.9144553059354746,0.8611111111111112,-5
C871,Position_group_out,8,Nested_all,CP_summary,ExtraTrees_depth2,0.6028272292722758,0.9166666666666669,-20
C871,Strict_position_out,P4,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.7486554621848736,1.0,-25
C871,Strict_position_out,P5,Nested_all,CP_summary,LR_0.1,0.4640406760924181,0.9,-15
C871,Strict_position_out,P6,Nested_all,CP_summary,RF_depth1,0.5,1.0,-20
C871,Strict_position_out,P7,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.4762142857142855,0.9583333333333331,-25
C871,Strict_position_out,P8,Nested_all,CP_summary,ExtraTrees_depth2,0.6028272292722758,0.8888888888888888,-20
