site,validation,fold,reported_family,family,model,threshold,inner_BA,label_threshold_pp
C871,LOOCV,p4_r5_swd_plus_p7_r5_swd,Sequence_Local,Sequence_Local,RF_depth1,0.5175049935633131,0.8055555555555556,-5
C871,LOOCV,p4_r5_swd_plus_p7_r5_swd,ContactSeek_CCR,ContactSeek_CCR,RF_depth1,0.5275241099543735,0.8055555555555556,-5
C871,LOOCV,p4_r5_swd_plus_p7_r5_swd,Nested_all,Total_CP,RF_depth1,0.6753544318030632,0.8611111111111112,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Total_CP,Total_CP,RF_depth1,0.6753544318030632,0.8611111111111112,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Interface_RMS,Interface_RMS,SVM_RBF,0.27289241384132434,0.8333333333333333,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,CP_summary,CP_summary,RF_depth1,0.7666639418678021,0.8611111111111112,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Repository,Repository,RF_depth2,0.786100054774503,0.8611111111111112,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Local_deltaCP,Local_deltaCP,LR_1,0.14952818345945768,0.8055555555555556,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Sequence,Sequence,SVM_RBF,0.7075830480636691,0.6111111111111112,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Sequence_Local,Sequence_Local,LDA_shrinkage,0.999999999999972,0.8055555555555556,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,ContactSeek_CCR,ContactSeek_CCR,RF_depth1,0.5445357931636374,0.8055555555555556,-5
C871,LOOCV,p4_r5_the_plus_p7_r5_the,Nested_all,Total_CP,RF_depth1,0.6753544318030632,0.8611111111111112,-5
C871,LOOCV,p5_r6_aye,Total_CP,Total_CP,RF_depth1,0.625383260977485,0.8888888888888888,-5
C871,LOOCV,p5_r6_aye,Interface_RMS,Interface_RMS,SVM_RBF,0.274014159803491,0.8333333333333333,-5
C871,LOOCV,p5_r6_aye,CP_summary,CP_summary,RF_depth1,0.778049086736693,0.8888888888888888,-5
C871,LOOCV,p5_r6_aye,Repository,Repository,RF_depth1,0.8031078129567094,0.8611111111111112,-5
C871,LOOCV,p5_r6_aye,Local_deltaCP,Local_deltaCP,LR_1,0.07214813132390135,0.8333333333333333,-5
C871,LOOCV,p5_r6_aye,Sequence,Sequence,SVM_RBF,0.7252393370900158,0.5833333333333334,-5
C871,LOOCV,p5_r6_aye,Sequence_Local,Sequence_Local,RF_depth1,0.574922739541161,0.7777777777777777,-5
C871,LOOCV,p5_r6_aye,ContactSeek_CCR,ContactSeek_CCR,GaussianNB,2.05846236e-316,0.8333333333333333,-5
C871,LOOCV,p5_r6_aye,Nested_all,Total_CP,RF_depth1,0.625383260977485,0.8888888888888888,-5
C871,LOOCV,p5_r6_nye,Total_CP,Total_CP,SVM_RBF,0.3886473251805571,0.8333333333333333,-5
C871,LOOCV,p5_r6_nye,Interface_RMS,Interface_RMS,SVM_RBF,0.2718127257184549,0.8333333333333333,-5
C871,LOOCV,p5_r6_nye,CP_summary,CP_summary,RF_depth1,0.40109299622459404,0.8333333333333333,-5
C871,LOOCV,p5_r6_nye,Repository,Repository,SVM_RBF,0.45146754693055563,0.8333333333333333,-5
C871,LOOCV,p5_r6_nye,Local_deltaCP,Local_deltaCP,LR_0.1,0.1505353096696,0.8333333333333333,-5
C871,LOOCV,p5_r6_nye,Sequence,Sequence,SVM_RBF,0.7252393370900158,0.5833333333333334,-5
C871,LOOCV,p5_r6_nye,Sequence_Local,Sequence_Local,RF_depth1,0.5227039136302297,0.7777777777777777,-5
C871,LOOCV,p5_r6_nye,ContactSeek_CCR,ContactSeek_CCR,LR_0.1,0.16446847879007181,0.8055555555555556,-5
C871,LOOCV,p5_r6_nye,Nested_all,Total_CP,SVM_RBF,0.3886473251805571,0.8333333333333333,-5
C871,LOOCV,p5_r6_sfe,Total_CP,Total_CP,RF_depth1,0.6360648261753056,0.8888888888888888,-5
C871,LOOCV,p5_r6_sfe,Interface_RMS,Interface_RMS,SVM_RBF,0.2693131527594286,0.8333333333333333,-5
C871,LOOCV,p5_r6_sfe,CP_summary,CP_summary,RF_depth1,0.6875071404472726,0.8888888888888888,-5
C871,LOOCV,p5_r6_sfe,Repository,Repository,RF_depth1,0.7159693946404476,0.8888888888888888,-5
C871,LOOCV,p5_r6_sfe,Local_deltaCP,Local_deltaCP,GaussianNB,0.5,0.8333333333333333,-5
C871,LOOCV,p5_r6_sfe,Sequence,Sequence,LDA_shrinkage,0.9999999999999926,0.6666666666666666,-5
C871,LOOCV,p5_r6_sfe,Sequence_Local,Sequence_Local,LR_0.01,0.32868771430673316,0.8055555555555556,-5
C871,LOOCV,p5_r6_sfe,ContactSeek_CCR,ContactSeek_CCR,LR_0.01,0.27107583432448823,0.8055555555555556,-5
C871,LOOCV,p5_r6_sfe,Nested_all,Total_CP,RF_depth1,0.6360648261753056,0.8888888888888888,-5
C871,LOOCV,p5_r6_swd,Total_CP,Total_CP,LR_0.01,0.5010012879460471,0.8888888888888888,-5
C871,LOOCV,p5_r6_swd,Interface_RMS,Interface_RMS,GaussianNB,0.37340658429079754,0.8055555555555556,-5
C871,LOOCV,p5_r6_swd,CP_summary,CP_summary,RF_depth1,0.6547791111565715,0.8888888888888888,-5
C871,LOOCV,p5_r6_swd,Repository,Repository,RF_depth1,0.7169969635627533,0.8611111111111112,-5
C871,LOOCV,p5_r6_swd,Local_deltaCP,Local_deltaCP,GaussianNB,0.5,0.8333333333333333,-5
C871,LOOCV,p5_r6_swd,Sequence,Sequence,LDA_shrinkage,0.9999999979750305,0.611111111111111,-5
C871,LOOCV,p5_r6_swd,Sequence_Local,Sequence_Local,LR_0.01,0.4292521995754067,0.75,-5
C871,LOOCV,p5_r6_swd,ContactSeek_CCR,ContactSeek_CCR,LR_0.01,0.3187580729467435,0.7777777777777777,-5
C871,LOOCV,p5_r6_swd,Nested_all,Total_CP,LR_0.01,0.5010012879460471,0.8888888888888888,-5
C871,LOOCV,p5_r6_syq,Total_CP,Total_CP,RF_depth1,0.5,0.868421052631579,-5
C871,LOOCV,p5_r6_syq,Interface_RMS,Interface_RMS,SVM_RBF,0.7310328160497588,0.631578947368421,-5
C871,LOOCV,p5_r6_syq,CP_summary,CP_summary,RF_depth1,0.7606127450980392,0.7105263157894737,-5
C871,LOOCV,p5_r6_syq,Repository,Repository,RF_depth1,0.811550521402195,0.5263157894736842,-5
C871,LOOCV,p5_r6_syq,Local_deltaCP,Local_deltaCP,SVM_RBF,0.7275436095329106,0.7105263157894737,-5
C871,LOOCV,p5_r6_syq,Sequence,Sequence,SVM_RBF,0.7262738901886833,0.6052631578947368,-5
C871,LOOCV,p5_r6_syq,Sequence_Local,Sequence_Local,SVM_RBF,0.7205222823814733,0.631578947368421,-5
C871,LOOCV,p5_r6_syq,ContactSeek_CCR,ContactSeek_CCR,ExtraTrees_depth2,0.8251373626373626,0.6842105263157895,-5
C871,LOOCV,p5_r6_syq,Nested_all,Total_CP,RF_depth1,0.5,0.868421052631579,-5
C871,LOOCV,p5_r6_thn,Total_CP,Total_CP,RF_depth1,0.6320117407759613,0.8888888888888888,-5
C871,LOOCV,p5_r6_thn,Interface_RMS,Interface_RMS,GaussianNB,0.24413009100363234,0.8333333333333333,-5
C871,LOOCV,p5_r6_thn,CP_summary,CP_summary,RF_depth1,0.6506979958637857,0.9166666666666667,-5
C871,LOOCV,p5_r6_thn,Repository,Repository,RF_depth1,0.6570895420369107,0.9166666666666667,-5
C871,LOOCV,p5_r6_thn,Local_deltaCP,Local_deltaCP,GaussianNB,0.5,0.8333333333333333,-5
C871,LOOCV,p5_r6_thn,Sequence,Sequence,SVM_RBF,0.6990655901030479,0.6944444444444444,-5
C871,LOOCV,p5_r6_thn,Sequence_Local,Sequence_Local,LR_0.01,0.33303644486300005,0.8055555555555556,-5
C871,LOOCV,p5_r6_thn,ContactSeek_CCR,ContactSeek_CCR,LR_0.01,0.2821163870792933,0.8055555555555556,-5
C871,LOOCV,p5_r6_thn,Nested_all,CP_summary,RF_depth1,0.6506979958637857,0.9166666666666667,-5
C871,LOOCV,p5_r6_twd,Total_CP,Total_CP,RF_depth1,0.7576554421812467,0.8611111111111112,-5
C871,LOOCV,p5_r6_twd,Interface_RMS,Interface_RMS,SVM_RBF,0.2748939976433105,0.8333333333333333,-5
C871,LOOCV,p5_r6_twd,CP_summary,CP_summary,SVM_RBF,0.46406144961301043,0.8333333333333333,-5
C871,LOOCV,p5_r6_twd,Repository,Repository,SVM_RBF,0.45830843554496514,0.8333333333333333,-5
C871,LOOCV,p5_r6_twd,Local_deltaCP,Local_deltaCP,LR_1,0.8759505215701016,0.8333333333333333,-5
C871,LOOCV,p5_r6_twd,Sequence,Sequence,SVM_RBF,0.7125881875613598,0.6111111111111112,-5
C871,LOOCV,p5_r6_twd,Sequence_Local,Sequence_Local,LR_0.1,0.372596795033894,0.7777777777777777,-5
C871,LOOCV,p5_r6_twd,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p5_r6_twd,Nested_all,Total_CP,RF_depth1,0.7576554421812467,0.8611111111111112,-5
C871,LOOCV,p5_r6_tye,Total_CP,Total_CP,RF_depth1,0.7576554421812467,0.8611111111111112,-5
C871,LOOCV,p5_r6_tye,Interface_RMS,Interface_RMS,SVM_RBF,0.2749393799107824,0.8333333333333333,-5
C871,LOOCV,p5_r6_tye,CP_summary,CP_summary,SVM_RBF,0.46406144961301043,0.8333333333333333,-5
C871,LOOCV,p5_r6_tye,Repository,Repository,SVM_RBF,0.45830843554496514,0.8333333333333333,-5
C871,LOOCV,p5_r6_tye,Local_deltaCP,Local_deltaCP,LR_1,0.09885060167474456,0.8333333333333333,-5
C871,LOOCV,p5_r6_tye,Sequence,Sequence,ExtraTrees_depth2,0.7257692307692307,0.5833333333333333,-5
C871,LOOCV,p5_r6_tye,Sequence_Local,Sequence_Local,LR_0.1,0.3780075919979161,0.7777777777777777,-5
C871,LOOCV,p5_r6_tye,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p5_r6_tye,Nested_all,Total_CP,RF_depth1,0.7576554421812467,0.8611111111111112,-5
C871,LOOCV,p5_r6_vfn,Total_CP,Total_CP,RF_depth1,0.5,0.868421052631579,-5
C871,LOOCV,p5_r6_vfn,Interface_RMS,Interface_RMS,SVM_RBF,0.7310749955372962,0.6052631578947368,-5
C871,LOOCV,p5_r6_vfn,CP_summary,CP_summary,RF_depth1,0.708635092088439,0.868421052631579,-5
C871,LOOCV,p5_r6_vfn,Repository,Repository,LR_0.01,0.5370340957790445,0.631578947368421,-5
C871,LOOCV,p5_r6_vfn,Local_deltaCP,Local_deltaCP,SVM_RBF,0.7274863022229625,0.7105263157894737,-5
C871,LOOCV,p5_r6_vfn,Sequence,Sequence,LR_0.01,0.5286746572962676,0.7105263157894737,-5
C871,LOOCV,p5_r6_vfn,Sequence_Local,Sequence_Local,SVM_RBF,0.7171478932583806,0.6578947368421053,-5
C871,LOOCV,p5_r6_vfn,ContactSeek_CCR,ContactSeek_CCR,SVM_RBF,0.7337442098977633,0.5526315789473684,-5
C871,LOOCV,p5_r6_vfn,Nested_all,Total_CP,RF_depth1,0.5,0.868421052631579,-5
C871,LOOCV,p6_r7_qfw,Total_CP,Total_CP,SVM_RBF,0.37862367497183247,0.8333333333333333,-5
C871,LOOCV,p6_r7_qfw,Interface_RMS,Interface_RMS,SVM_RBF,0.2749409723253906,0.8333333333333333,-5
C871,LOOCV,p6_r7_qfw,CP_summary,CP_summary,SVM_RBF,0.46406144961301043,0.8333333333333333,-5
C871,LOOCV,p6_r7_qfw,Repository,Repository,SVM_RBF,0.45830843554496514,0.8333333333333333,-5
C871,LOOCV,p6_r7_qfw,Local_deltaCP,Local_deltaCP,LR_1,0.09902138667499936,0.8333333333333333,-5
C871,LOOCV,p6_r7_qfw,Sequence,Sequence,LDA_shrinkage,0.9999999999999998,0.5555555555555556,-5
C871,LOOCV,p6_r7_qfw,Sequence_Local,Sequence_Local,LR_0.1,0.3889842701820121,0.7777777777777777,-5
C871,LOOCV,p6_r7_qfw,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p6_r7_qfw,Nested_all,Total_CP,SVM_RBF,0.37862367497183247,0.8333333333333333,-5
C871,LOOCV,p6_r7_qrw,Total_CP,Total_CP,RF_depth1,0.7677576134018389,0.8611111111111112,-5
C871,LOOCV,p6_r7_qrw,Interface_RMS,Interface_RMS,SVM_RBF,0.2749361408623238,0.8333333333333333,-5
C871,LOOCV,p6_r7_qrw,CP_summary,CP_summary,SVM_RBF,0.4655056534307179,0.8333333333333333,-5
C871,LOOCV,p6_r7_qrw,Repository,Repository,SVM_RBF,0.45830843554496514,0.8333333333333333,-5
C871,LOOCV,p6_r7_qrw,Local_deltaCP,Local_deltaCP,LR_1,0.09943821088337967,0.8333333333333333,-5
C871,LOOCV,p6_r7_qrw,Sequence,Sequence,LR_0.01,0.5170657316189287,0.5555555555555556,-5
C871,LOOCV,p6_r7_qrw,Sequence_Local,Sequence_Local,LR_0.1,0.3748764557554295,0.7777777777777777,-5
C871,LOOCV,p6_r7_qrw,ContactSeek_CCR,ContactSeek_CCR,LDA_shrinkage,0.5,0.8055555555555556,-5
C871,LOOCV,p6_r7_qrw,Nested_all,Total_CP,RF_depth1,0.7677576134018389,0.8611111111111112,-5
C871,LOOCV,p6_r7_trq,Total_CP,Total_CP,RF_depth1,0.7677576134018389,0.8611111111111112,-5
C871,LOOCV,p6_r7_trq,Interface_RMS,Interface_RMS,SVM_RBF,0.2749697290598041,0.8333333333333333,-5
C871,LOOCV,p6_r7_trq,CP_summary,CP_summary,SVM_RBF,0.4407051329111006,0.8333333333333333,-5
C871,LOOCV,p6_r7_trq,Repository,Repository,SVM_RBF,0.44947729763723,0.8333333333333333,-5
