site,validation,n_unique,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C295,LOOCV,22,0.5729166666666666,0.6818181818181818,0.4,0.3333333333333333,0.8125,2.0,13.0,3.0,4.0,0.8020833333333333,0.6389822595704949
C295,Position_group_out,22,0.5104166666666666,0.5909090909090909,0.7333333333333333,0.6875,0.3333333333333333,11.0,2.0,4.0,5.0,0.4270833333333333,0.6742290695415695
C295,Strict_position_out,22,0.4642857142857143,0.4772727272727273,0.6521739130434783,0.5,0.42857142857142855,7.5,3.0,4.0,7.5,0.5630952380952381,0.6833220749929136
C871,LOOCV,22,0.5128205128205128,0.5454545454545454,0.42857142857142855,0.3333333333333333,0.6923076923076923,3.0,9.0,4.0,6.0,0.4444444444444444,0.42364730403946094
C871,Position_group_out,22,0.3482142857142857,0.4090909090909091,0.5333333333333333,0.5714285714285714,0.125,8.0,1.0,7.0,6.0,0.4375,0.6915373206698947
C871,Strict_position_out,22,0.6416666666666666,0.6363636363636364,0.7,0.5833333333333334,0.7,7.0,7.0,3.0,5.0,0.6385416666666667,0.7251967849375958
