site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C295,-20,LOOCV,CP_summary,LR_1,fixed_0.5,22,22,0.48245614035087714,0.5909090909090909,0.125,0.3333333333333333,0.631578947368421,1.0,12.0,7.0,2.0,0.47368421052631576,0.16140109890109888
C295,-20,LOOCV,CP_summary,LR_1,training_only_threshold,22,22,0.6842105263157895,0.45454545454545453,0.2,1.0,0.3684210526315789,3.0,7.0,12.0,0.0,0.47368421052631576,0.16140109890109888
C295,-20,LOOCV,CP_summary,RF_depth1,fixed_0.5,22,22,0.42105263157894735,0.7272727272727273,0.0,0.0,0.8421052631578947,0.0,16.0,3.0,3.0,0.21052631578947367,0.11886724386724387
C295,-20,LOOCV,CP_summary,RF_depth1,training_only_threshold,22,22,0.5175438596491228,0.4090909090909091,0.14285714285714285,0.6666666666666666,0.3684210526315789,2.0,7.0,12.0,1.0,0.21052631578947367,0.11886724386724387
C295,-20,LOOCV,CP_summary,RF_depth2,fixed_0.5,22,22,0.4473684210526316,0.7727272727272727,0.0,0.0,0.8947368421052632,0.0,17.0,2.0,3.0,0.3508771929824561,0.1537878787878788
C295,-20,LOOCV,CP_summary,RF_depth2,training_only_threshold,22,22,0.6228070175438596,0.5909090909090909,0.2,0.6666666666666666,0.5789473684210527,2.0,11.0,8.0,1.0,0.3508771929824561,0.1537878787878788
C295,-20,LOOCV,CP_summary,SVM_RBF,fixed_0.5,22,22,0.4298245614035088,0.5,0.1,0.3333333333333333,0.5263157894736842,1.0,10.0,9.0,2.0,0.4385964912280702,0.2054093567251462
C295,-20,LOOCV,CP_summary,SVM_RBF,training_only_threshold,22,22,0.5438596491228069,0.45454545454545453,0.15384615384615385,0.6666666666666666,0.42105263157894735,2.0,8.0,11.0,1.0,0.4385964912280702,0.2054093567251462
C295,-20,LOOCV,CP_summary,nested_model_selection,training_only_threshold,22,22,0.5701754385964912,0.5,0.16666666666666666,0.6666666666666666,0.47368421052631576,2.0,9.0,10.0,1.0,0.49122807017543857,0.16536796536796539
C295,-20,LOOCV,ContactSeek_CCR,ExtraTrees_depth2,fixed_0.5,22,22,0.6666666666666666,0.9090909090909091,1.0,0.3333333333333333,1.0,1.0,19.0,0.0,2.0,0.9649122807017545,0.8055555555555556
C295,-20,LOOCV,ContactSeek_CCR,ExtraTrees_depth2,training_only_threshold,22,22,0.9736842105263157,0.9545454545454546,0.75,1.0,0.9473684210526315,3.0,18.0,1.0,0.0,0.9649122807017545,0.8055555555555556
C295,-20,LOOCV,ContactSeek_CCR,GaussianNB,fixed_0.5,22,22,0.42105263157894735,0.7272727272727273,0.0,0.0,0.8421052631578947,0.0,16.0,3.0,3.0,0.42105263157894735,0.13636363636363635
C295,-20,LOOCV,ContactSeek_CCR,GaussianNB,training_only_threshold,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.42105263157894735,0.13636363636363635
