construct,scope,seed,model,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,plddt_core_min_model,global_core_PAE,anisotropy,RNA_meanCP,RNA_high_per_res,internal_P1,P1_P2_CP,P1_P3_CP,P1_P4_CP,P1_P5_CP,P1_P6_CP,P1_P7_CP,P1_P8_CP,P1_P9_CP,P1_P10_CP,P1_P11_CP,P1_P12_CP,internal_P2,P2_P3_CP,P2_P4_CP,P2_P5_CP,P2_P6_CP,P2_P7_CP,P2_P8_CP,P2_P9_CP,P2_P10_CP,P2_P11_CP,P2_P12_CP,internal_P3,P3_P4_CP,P3_P5_CP,P3_P6_CP,P3_P7_CP,P3_P8_CP,P3_P9_CP,P3_P10_CP,P3_P11_CP,P3_P12_CP,internal_P4,P4_P5_CP,P4_P6_CP,P4_P7_CP,P4_P8_CP,P4_P9_CP,P4_P10_CP,P4_P11_CP,P4_P12_CP,internal_P5,P5_P6_CP,P5_P7_CP,P5_P8_CP,P5_P9_CP,P5_P10_CP,P5_P11_CP,P5_P12_CP,internal_P6,P6_P7_CP,P6_P8_CP,P6_P9_CP,P6_P10_CP,P6_P11_CP,P6_P12_CP,internal_P7,P7_P8_CP,P7_P9_CP,P7_P10_CP,P7_P11_CP,P7_P12_CP,internal_P8,P8_P9_CP,P8_P10_CP,P8_P11_CP,P8_P12_CP,internal_P9,P9_P10_CP,P9_P11_CP,P9_P12_CP,internal_P10,P10_P11_CP,P10_P12_CP,internal_P11,P11_P12_CP,internal_P12,adj_CP_mean,adj_CP_min,nonadj_CP_mean
P5-R6-DFE,full519,1159157628,0,1.3082851637764932,91.10426404980163,1.4536854028701782,4.408050914059942,2.390944480895996,2.3641618497109826,1.3378998041152954,1.1386127471923828,1.1078998073217727,58.630001068115234,3.9086668491363525,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.0789980732177264,3.533333333333333,95.1652883948613,76.41363636363637,4.608645915985107,15.205606556371519,0.0075311497785151005,0.10211946050096339,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,matched512,1159157628,0,1.326171875,91.80575254639024,1.4388548135757446,4.330096970028655,2.422656297683716,2.396484375,1.3552343845367432,1.1535546779632568,1.123046875,58.62999725341797,3.9086663722991943,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.080078125,3.533333333333333,95.1652883948613,76.41363636363637,4.608645915985107,15.205606556371519,0.007634114008396864,0.103515625,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,full519,1159157628,1,1.3082851637764932,91.05517524474027,1.4624954462051392,4.4432029315338335,2.390944480895996,2.3641618497109826,1.3378998041152954,1.1386127471923828,1.1078998073217727,58.630001068115234,3.9086668491363525,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.0789980732177264,3.533333333333333,95.08644810539255,76.006,4.684065341949463,15.35109642760925,0.0075311497785151005,0.10211946050096339,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,matched512,1159157628,1,1.326171875,91.74732305547101,1.4476515054702759,4.3629801819455425,2.422656297683716,2.396484375,1.3552343845367432,1.1535546779632568,1.123046875,58.62999725341797,3.9086663722991943,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.080078125,3.533333333333333,95.08644810539255,76.006,4.684065341949463,15.35109642760925,0.007634114008396864,0.103515625,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,full519,1159157628,2,1.3082851637764932,90.85861071560637,1.4632314443588257,4.395623621864225,2.390944480895996,2.3641618497109826,1.3378998041152954,1.1386127471923828,1.1078998073217727,58.630001068115234,3.9086668491363525,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.0789980732177264,3.533333333333333,94.93501091937897,73.55199999999999,4.659186363220215,15.468606215692349,0.0075311497785151005,0.10211946050096339,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,matched512,1159157628,2,1.326171875,91.55815761620107,1.4484838247299194,4.312898140686594,2.422656297683716,2.396484375,1.3552343845367432,1.1535546779632568,1.123046875,58.62999725341797,3.9086663722991943,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.080078125,3.533333333333333,94.93501091937897,73.55199999999999,4.659186363220215,15.468606215692349,0.007634114008396864,0.103515625,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,full519,1159157628,3,1.3082851637764932,90.86611986017621,1.4889642000198364,4.3265170935345,2.390944480895996,2.3641618497109826,1.3378998041152954,1.1386127471923828,1.1078998073217727,58.630001068115234,3.9086668491363525,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.0789980732177264,3.533333333333333,94.98370575296616,76.84636363636362,4.692061901092529,14.54338092067409,0.0075311497785151005,0.10211946050096339,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,matched512,1159157628,3,1.326171875,91.55206926054632,1.4743685722351074,4.2487343340824735,2.422656297683716,2.396484375,1.3552343845367432,1.1535546779632568,1.123046875,58.62999725341797,3.9086663722991943,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.080078125,3.533333333333333,94.98370575296616,76.84636363636362,4.692061901092529,14.54338092067409,0.007634114008396864,0.103515625,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,full519,1159157628,4,1.3082851637764932,90.81142047505053,1.4751646518707275,4.379244659213583,2.390944480895996,2.3641618497109826,1.3378998041152954,1.1386127471923828,1.1078998073217727,58.630001068115234,3.9086668491363525,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.0789980732177264,3.533333333333333,94.80832746529447,75.90454545454544,4.758049964904785,14.953718777772297,0.0075311497785151005,0.10211946050096339,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
P5-R6-DFE,matched512,1159157628,4,1.326171875,91.51256177990845,1.4603930711746216,4.302170249849844,2.422656297683716,2.396484375,1.3552343845367432,1.1535546779632568,1.123046875,58.62999725341797,3.9086663722991943,0.9930000305175781,0.8459999561309814,0.09000000357627869,0.8,0.080078125,3.533333333333333,94.80832746529447,75.90454545454544,4.758049964904785,14.953718777772297,0.007634114008396864,0.103515625,1.3086111545562744,0.03344960883259773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.04053488373756409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.257222294807434,0.0391085259616375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2944444417953491,0.03438759595155716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3152776956558228,0.038720935583114624,0.0,0.0,0.0,0.0,0.0,0.0,1.2975000143051147,0.036790698766708374,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.034449610859155655,0.0,0.0,0.0,0.0,1.3305555582046509,0.040465112775564194,0.0,0.0,0.0,1.2447221279144287,0.04112403467297554,0.0,0.0,1.2827777862548828,0.03948061913251877,6.172839493956417e-05,1.3311110734939575,0.04110853001475334,1.1552777290344238,0.03814728693528609,0.03344960883259773,1.1223344534466212e-06
