family,validation,model,scope,n,n_work,AUC,AP,PR_AUC,balanced_accuracy,precision,recall,TN,FP,FN,TP,brier
sensitivity,exclude_WT,CP_RNA7_LR,matched512,30,21,0.6825396825396826,0.7968665880913538,0.772496645386461,0.6349206349206349,0.7894736842105263,0.7142857142857143,5,4,6,15,0.236859434056356
sensitivity,exclude_WT,CP_RNA7_RF,matched512,30,21,0.5873015873015873,0.7478977554100706,0.7215475486607043,0.6031746031746031,0.7619047619047619,0.7619047619047619,4,5,5,16,0.23276076705078835
sensitivity,exclude_undetected_zero,CP3_LR,matched512,29,22,0.6558441558441559,0.8191267015006302,0.7961535855648001,0.6753246753246753,0.875,0.6363636363636364,5,2,8,14,0.25407588441994633
sensitivity,exclude_undetected_zero,CP3_RF,matched512,29,22,0.5064935064935066,0.7373444876522047,0.7149616775228327,0.5324675324675324,0.7777777777777778,0.6363636363636364,3,4,8,14,0.2510311771942591
sensitivity,exclude_undetected_zero,Structure6_LR,matched512,29,22,0.6688311688311689,0.8846852464242094,0.8813433664580281,0.6038961038961039,0.8235294117647058,0.6363636363636364,4,3,8,14,0.2264456679999599
sensitivity,exclude_undetected_zero,Structure6_RF,matched512,29,22,0.4285714285714286,0.713396666506593,0.6978234971154462,0.6233766233766234,0.8181818181818182,0.8181818181818182,3,4,4,18,0.22237232191779344
sensitivity,exclude_undetected_zero,CP_Structure9_LR,matched512,29,22,0.7077922077922078,0.8887241056235566,0.8850114672518274,0.5584415584415584,0.8,0.5454545454545454,4,3,10,12,0.22214942880081504
sensitivity,exclude_undetected_zero,CP_Structure9_RF,matched512,29,22,0.45454545454545453,0.7125894097132742,0.6898819321736733,0.551948051948052,0.782608695652174,0.8181818181818182,2,5,4,18,0.23352560200330816
sensitivity,exclude_undetected_zero,RNA4_LR,matched512,29,22,0.5454545454545454,0.7503258198772104,0.7287033084388967,0.6266233766233766,0.8333333333333334,0.6818181818181818,4,3,7,15,0.2476234396566589
sensitivity,exclude_undetected_zero,RNA4_RF,matched512,29,22,0.3571428571428572,0.675851452896266,0.6518228221272653,0.3668831168831169,0.6842105263157895,0.5909090909090909,1,6,9,13,0.2482166540531044
sensitivity,exclude_undetected_zero,CP_RNA7_LR,matched512,29,22,0.5844155844155845,0.7924398033882526,0.7686727494601282,0.6493506493506493,0.8421052631578947,0.7272727272727273,4,3,6,16,0.25424256440901877
sensitivity,exclude_undetected_zero,CP_RNA7_RF,matched512,29,22,0.5324675324675324,0.8139944290629116,0.8045966763527557,0.43506493506493504,0.7272727272727273,0.7272727272727273,1,6,6,16,0.2302625990625425
