method,AUC,conditional_bootstrap_low,conditional_bootstrap_high,n_resamples
old_RF,0.33080808080808083,0.1388888888888889,0.555618686868686,5000
new_CP3_LR_LOCO,0.7222222222222223,0.48989898989898994,0.9191919191919192,5000
new_CPstruct_LR_LOCO,0.7777777777777778,0.5858585858585859,0.9292929292929293,5000
new_CPstruct_LR_groupout,0.797979797979798,0.6262626262626263,0.9343434343434344,5000
nested_LOCO,0.5757575757575757,0.3585858585858586,0.7777777777777778,5000
nested_groupout,0.702020202020202,0.4747474747474748,0.8939393939393939,5000
